,Date,Open,High,Low,Close,Adj Close,Volume
892,2013-07-31,4299.0,4445.0,4075.0,4354.75,4243.171875,23924.0
893,2013-08-01,4301.0,4435.0,4245.399902,4344.950195,4233.623535,8186.0
894,2013-08-02,4344.950195,4344.950195,4140.5,4195.0,4087.515137,12715.0
895,2013-08-05,4153.0,4188.0,4101.0,4174.549805,4067.589111,11503.0
896,2013-08-06,4135.049805,4135.049805,3990.0,4038.6999509999996,3935.219727,19970.0
897,2013-08-07,4001.0,4002.5500490000004,3811.149902,3859.0,3760.123779,41468.0
898,2013-08-08,3736.149902,3940.0,3707.649902,3823.649902,3725.680176,119450.0
899,2013-08-12,3785.0,3930.0,3785.0,3922.0,3821.510254,3061.0
900,2013-08-13,3930.0,3999.8000490000004,3853.6999509999996,3946.5500490000004,3845.431396,62221.0
901,2013-08-14,3946.6999509999996,4090.0,3875.0500490000004,4070.3000490000004,3966.0107420000004,3405.0
902,2013-08-16,4070.3000490000004,4072.5500490000004,3907.0,3936.850098,3835.9804689999996,13790.0
903,2013-08-19,3900.0,3945.899902,3768.149902,3824.350098,3726.3623049999997,18869.0
904,2013-08-20,3760.1999509999996,3840.0,3760.1999509999996,3800.149902,3702.782227,61428.0
905,2013-08-21,3799.9499509999996,3840.0,3715.0500490000004,3725.5500490000004,3630.093262,3877.0
906,2013-08-22,3700.0,3725.5500490000004,3625.0,3680.850098,3586.538818,25971.0
907,2013-08-23,3612.149902,3743.3000490000004,3606.0,3630.399902,3537.381836,10234.0
908,2013-08-26,3729.0,3729.0,3610.0,3616.899902,3524.227539,20737.0
909,2013-08-27,3615.0,3638.0,3600.0,3600.0500490000004,3507.8093259999996,23166.0
910,2013-08-28,3575.0,3630.0,3450.0,3486.600098,3397.266357,98537.0
911,2013-08-29,3400.100098,3565.0,3400.100098,3537.75,3447.1057130000004,3112.0
912,2013-08-30,3450.0,3630.0,3450.0,3595.8000490000004,3503.6679689999996,19329.0
913,2013-09-02,3595.0,3639.399902,3524.0,3557.5,3466.349365,7059.0
914,2013-09-03,3530.0500490000004,3599.850098,3530.0,3582.25,3490.4650880000004,623.0
915,2013-09-04,3646.0500490000004,3750.0500490000004,3545.25,3635.3000490000004,3542.156006,2370.0
916,2013-09-05,3689.9499509999996,3879.0,3661.399902,3820.899902,3723.0,13758.0
917,2013-09-06,3775.0,3858.9499509999996,3708.25,3799.100098,3701.759277,26437.0
918,2013-09-10,3750.0500490000004,3918.0,3750.0500490000004,3878.100098,3778.734863,20017.0
919,2013-09-11,3876.4499509999996,4089.9499509999996,3876.4499509999996,3981.5,3879.48584,8364.0
920,2013-09-12,3961.0,4135.0,3826.0,3887.3000490000004,3787.6992189999996,114118.0
921,2013-09-13,3842.600098,3899.4499509999996,3761.0500490000004,3815.0500490000004,3717.3005369999996,38029.0
922,2013-09-16,3808.0,3941.0500490000004,3808.0,3923.600098,3823.069336,2779.0
923,2013-09-17,3868.5,4004.0500490000004,3843.0,3949.899902,3848.695068,17583.0
924,2013-09-18,3950.0500490000004,4000.0,3889.149902,3981.100098,3879.096436,2733.0
925,2013-09-19,4000.0,4199.899902,4000.0,4170.399902,4063.545654,10323.0
926,2013-09-20,4113.049805,4300.0,4084.9499509999996,4202.049805,4094.384521,28147.0
927,2013-09-23,4226.0,4278.350098,4109.950195,4149.049805,4042.742432,13245.0
928,2013-09-24,4121.049805,4121.049805,4051.0,4092.149902,3987.300293,2861.0
929,2013-09-25,4075.0,4115.75,3955.0,4027.4499509999996,3924.258301,5651.0
930,2013-09-26,4050.0,4110.0,4021.0,4054.649902,3950.761475,2237.0
931,2013-09-27,4065.0,4065.0,3961.0500490000004,3998.75,3896.2937009999996,9924.0
932,2013-09-30,4001.1999509999996,4218.950195,3980.0,4123.649902,4017.993164,8461.0
933,2013-10-01,4175.0,4199.0,4051.149902,4168.700195,4061.890137,4098.0
934,2013-10-03,4195.0,4335.0,4178.0,4305.75,4195.428223,18757.0
935,2013-10-04,4235.149902,4425.0,4235.149902,4402.100098,4289.308594,4581.0
936,2013-10-07,4390.0,4415.0,4335.0,4398.299805,4285.605957,4398.0
937,2013-10-08,4370.0,4500.0,4240.0,4304.649902,4194.356934,6573.0
938,2013-10-09,4300.0,4385.0,4251.149902,4345.799805,4234.450684,3208.0
939,2013-10-10,4399.0,4452.25,4319.0,4330.850098,4219.884277,4672.0
940,2013-10-11,4278.049805,4438.850098,4278.049805,4378.450195,4266.26416,9794.0
941,2013-10-14,4428.0,4428.0,4350.049805,4380.850098,4268.603027,1612.0
942,2013-10-15,4399.950195,4510.0,4380.0,4484.75,4369.84082,6950.0
943,2013-10-17,4450.0,4510.0,4433.0,4471.350098,4368.473633,1607.0
944,2013-10-18,4400.049805,4605.899902,4370.049805,4535.700195,4431.34375,8561.0
945,2013-10-21,4500.0,4510.0,4460.0,4482.450195,4379.318359000001,16426.0
946,2013-10-22,4482.5,4538.950195,4390.0,4426.25,4324.412109000001,10747.0
947,2013-10-23,4441.149902,4561.200195,4417.0,4490.799805,4387.475586,7921.0
948,2013-10-24,4436.049805,4539.799805,4425.0,4457.399902,4354.844727000001,28606.0
949,2013-10-25,4435.049805,4468.850098,4390.049805,4430.649902,4328.709473,7523.0
